SubjectID,ToolInstances,ServerTimestamp,ServerTimezone,CourseID,AssignmentID,ProblemID,CodeStateID,IsEventOrderingConsistent,EventType,Score,Compile.Result,CompileMessageType,CompileMessageData,EventID,Order,ParentEventID
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:14:40,0,CS 1,492,34,f6d30c71590a904974bffffc8f904343f43c7a9829e514a5d57cb765e06d90d9,True,Run.Program,0.0,,,,297904,297904,
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:14:40,0,CS 1,492,34,f6d30c71590a904974bffffc8f904343f43c7a9829e514a5d57cb765e06d90d9,True,Compile,,Error,,,297905,297905,297904.0
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:14:40,0,CS 1,492,34,f6d30c71590a904974bffffc8f904343f43c7a9829e514a5d57cb765e06d90d9,True,Compile.Error,,,SyntaxError,line 4: error: illegal start of expression. ,297906,297906,297905.0
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:14:40,0,CS 1,492,34,f6d30c71590a904974bffffc8f904343f43c7a9829e514a5d57cb765e06d90d9,True,Compile.Error,,,SyntaxError,line 4: error: ';' expected,297907,297907,297905.0
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:15:08,0,CS 1,492,34,6bfee022a967c28b24cf8e22cca1928add0a32ee803913ae1669f3e5faced44e,True,Run.Program,0.428571,,,,297908,297908,
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:15:08,0,CS 1,492,34,6bfee022a967c28b24cf8e22cca1928add0a32ee803913ae1669f3e5faced44e,True,Compile,,Success,,,297909,297909,297908.0
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:16:49,0,CS 1,492,34,74580e87d88b178832fe43400748f1396c05d6fea4973fc1ecf66fb568220e43,True,Run.Program,0.5,,,,297910,297910,
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:16:49,0,CS 1,492,34,74580e87d88b178832fe43400748f1396c05d6fea4973fc1ecf66fb568220e43,True,Compile,,Success,,,297911,297911,297910.0
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:20:43,0,CS 1,492,34,733e162b62d19ff996c655e0a4f4e85c7789dd88fc34bb65a92f4851a84e171d,True,Run.Program,0.642857,,,,297912,297912,
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,Java 8; CodeWorkout,2019-10-28T13:20:43,0,CS 1,492,34,733e162b62d19ff996c655e0a4f4e85c7789dd88fc34bb65a92f4851a84e171d,True,Compile,,Success,,,297913,297913,297912.0
