SubjectID,FracLong
13b34a353ac9ea6554f0bfc998b55f394ed800dfc03b32dc37d311d2551a5749,0.017241379310344827
275839578ec60b5084d5e18fccb01310e9f1b78293cad00bec043945e0f3e629,0.15384615384615385
322817f4854f2f71b85db9d2e7c04e4a44c91ea866c689f277a658abc7d22b12,0.125
351cff49ce968bd6bb542470c3004131a5042932b5f2cb0e7ea8492770b77485,0.25
453482ae02a485dd6eda2426eae4181835e1451a36229f550d4efb9d8a7a9470,0.0
48002b47ecdcaeb4828400130c7d77959319f9ae612dfbd03a91f7422c093ac7,0.3333333333333333
48f565383f47c6752893810686bd0c5f07fef08e34bc22a3f398d3b8c8db7c43,0.03571428571428571
5e8589d4cd67c4b88f84e378d72875ccd07de5c9e20cc666bbf217de9d3567b4,0.09090909090909091
73da0df025bd69a83446ff2c9628a7f2f1ff34bff9e343059e17e4d31a6218d3,0.08333333333333333
7854ad4022596904b137ebbb044e0bbbd2f590b0dac7f5a46d9991f3c049d647,0.13333333333333333
7ce2ef889fd3931ddf910c65e58e6b626f658d713486152c54f9f8a0e6f37375,0.09523809523809523
ad1624c5c3a02a3a3b3dcb044b912998b64ca2e7cd54abe79476f86a41a3234b,0.3333333333333333
aeff5cdc8c731a2b16beb6f260aeeca455401bc2ddb229aa87a464475f95b1ca,0.3333333333333333
b2c90b16a2864cf16993f00192cdb13ee656ac6cd53f745acd473a25224cd05d,0.25
bd41cbdc04707f80b319802470a1871b99d36766f9d020cc0f9a569a4d1bb54b,0.0
cf13a4b65841c7dceb8412708517c5be0cdedb328ac511655c4a95ee813d548b,0.0
d3f0d126711eb978e948a2cbeb9c2b2b0ffa79541fe717c41575d91f5e21aa61,0.11764705882352941
db2e162c7c1734ed5a58abc1706b9efbbdadbd2ba5f77bea6911a1aabd5e0831,0.1
ea47fdcc277117bd663900f36ab09bad41ea1af083ccbc63647b5838e1056ebc,0.0
