SubjectID,ToolInstances,ServerTimestamp,ServerTimezone,CourseID,AssignmentID,ProblemID,CodeStateID,IsEventOrderingConsistent,EventType,Score,Compile.Result,CompileMessageType,CompileMessageData,EventID,Order,ParentEventID
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:18:02,0,CS 1,439,13,d7948ab44a1e61a9e9404470e63821debb38539cee17f600009fee2e4f77a7ef,True,Run.Program,0.913043,,,,145187,145187,
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:18:02,0,CS 1,439,13,d7948ab44a1e61a9e9404470e63821debb38539cee17f600009fee2e4f77a7ef,True,Compile,,Success,,,145188,145188,145187.0
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:18:25,0,CS 1,439,13,ab34873aa3e0f48d16306e514671d4e4b3ee74d60746b15278cfdb163e0fa6d1,True,Run.Program,0.913043,,,,145189,145189,
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:18:25,0,CS 1,439,13,ab34873aa3e0f48d16306e514671d4e4b3ee74d60746b15278cfdb163e0fa6d1,True,Compile,,Success,,,145190,145190,145189.0
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:19:19,0,CS 1,439,13,585e85c4e27b393ca70a38686cb8462f5d5a714211bbebe046038e75c1494fa1,True,Run.Program,1.0,,,,145191,145191,
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:19:19,0,CS 1,439,13,585e85c4e27b393ca70a38686cb8462f5d5a714211bbebe046038e75c1494fa1,True,Compile,,Success,,,145192,145192,145191.0
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:13:38,0,CS 1,487,22,30518db257ba12b686db1db051dca974d6e0d6de135a4d935bf7c464866d4dba,True,Run.Program,1.0,,,,195208,195208,
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,Java 8; CodeWorkout,2019-09-30T13:13:38,0,CS 1,487,22,30518db257ba12b686db1db051dca974d6e0d6de135a4d935bf7c464866d4dba,True,Compile,,Success,,,195209,195209,195208.0
07445b2803cfbba249af9f27deaabc1c2aa5fd49745cd11637d45d1e8f939c2b,Java 8; CodeWorkout,2019-09-30T13:25:06,0,CS 1,439,13,b8ee76e4430b8108e86a94c77140534b0199b13c052e54a87246d5158145efb9,True,Run.Program,0.0,,,,168704,168704,
07445b2803cfbba249af9f27deaabc1c2aa5fd49745cd11637d45d1e8f939c2b,Java 8; CodeWorkout,2019-09-30T13:25:06,0,CS 1,439,13,b8ee76e4430b8108e86a94c77140534b0199b13c052e54a87246d5158145efb9,True,Compile,,Error,,,168705,168705,168704.0
